CUID,RUID,SSN,first.name,middle.initial,last.name,street.number,street.name,apartment.number,city,state,zipcode
18214,18214,543824451,Abrego,O,Vierkotten,561,Song,5j4,Conway,SC,29526
6500,12438,515017247,Hays,C,Walters,412,Veora Ave,3q0,APO San Franxisco,GU,96334
3700,8857,0,Chack,D,Einarsen,337,Katinka Avenue,2d3,Midleton,CA,83644
16830,29123,342817627,Nickells,,Rempp,193,Yoneyama Pkwy,6g1,Jessieville,AR,71949
4644,12531,560065015,Dales,R,Wealch,231,Sahinarp St,4u0,Zionville,NC,28698
18360,18360,335171177,Shuman,D,Shioya,935,Gschwindw St,3g4,Riverton,WV,26814
9888,9888,654137381,Soellner,,Hypes,448,Cuong Ave,2d4,West Kingston,RI,2892
10802,10802,562884576,Specker,Z,Mkunga,915,Mcouat St,3c8,Bighorn,MT,59010
12021,12021,0,Lonn,,Arpita,518,Vroom Avenue,8p0,Rail Road Flat,CA,95248
5237,5237,0,Hemme,G,Rowland,172,Crossley,6b5,Lawton,OK,73503
5991,15777,678132600,Ulser,K,Rosem,544,Arba Street,1d6,Anderson,IN,46016
10014,10014,255576212,Brouwer,,Gauchet,740,Londhe Pkwy,4s4,West Bend,WI,53095
17998,19412,315771740,S,O,Ghis,485,aMestdagt Ln,3a6,Long Prsirie,MN,56347
1813,1813,0,Neisser,L,Bertino,211,Johnston Road,3u7,Kihei,HI,96753
3507,3507,0,Quisling,E,Senja,118,Knesmaxwell,5q3,Hendersonville,TN,37077
14807,14807,0,Nahas,,Fostier,139,Delnaz Avenue,3h6,Kosrae,FM,96944
10191,10191,0,Fern,,Cardenas,203,Soie Rd,5g8,Christiansted,VI,823
8901,27310,464800376,Niziers,Z,Hickerson,839,Terron Pkwy,3c5,Cohasset,MN,55721
748,19081,548727444,Cottinghma,C,Luque,470,Salvo St,8v1,Sargents,CO,81248
9528,22561,515484168,Poetker,F,Limbursky,525,Balmonte St,5d6,Baton Rouge,LA,70894
11539,28981,378673622,Krozser,T,Lashell,NA,PO Box 4103,,Genoa,WI,54632
1607,1607,381858335,Theoharis,T,Kovacevic,223,Widdis Avenue,5a4,Mc Allister,MT,59740
8437,8437,164726145,iPta,Z,Enriq,49,Darling Ave,2i1,Boise,ID,83702
9013,20002,0,Hendrika,W,Graessler,767,Jehnana Lane,8h2,Austin,NV,89310
1342,21108,241106568,Graggory,K,Favorite,5,Dickens Rd,1s1,Lorcdsburg,FL,88045
1845,1845,767341275,Mustion,U,Izbinsky,818,Suzuki St,5c2,Leon,VA,22725
8326,8326,272107626,Nisse,,Ledford,850,Letitia Lane,1r8,Salinas,PR,751
858,17114,181508268,Sweely,E,Suerget,116,Kulcinski Pkwy,3j4,Menno,SD,57045
4469,10574,717822678,Druineaud,A,Matheny,429,Oviedo St,3n5,Wiggimns,CO,80654
11090,11090,635225050,Fairclough,Q,Petrilklo,91,Moughmer Street,4j0,Boca Raton,FL,33487
10523,10523,510570608,Ghezzi,D,Jolie,952,Stulberg Rd,2p3,Annapolis,MO,63620
12122,26900,0,Bernert,C,Meslox,844,Orca Street,5l7,Fresno,CA,93794
3816,12117,157566512,Missimer,R,Brudenell,NA,PO Box 4644,,Mc Curtzain,OK,74944
9257,9257,651231863,Glei,S,Fredenburgh,NA,PO Box 4727,,Calhoun,LA,71225
17091,29563,633703651,Bloomfield,V,Mcveety,NA,PO Box 1950,,Columbia,SC,29206
1224,1224,0,Hasso,I,Buch,408,Zollin Ln,7q8,Pecos,NM,87552
10670,10670,0,Nutt,D,Kavetta,806,Sumby Lane,8g1,Whitley City,KY,42653
2718,11563,145308801,Tsaihung,L,Campigotto,462,Biggane Avenue,4r6,Perry,LA,70575
18243,18243,0,Swanstrom,N,Makiko,369,Phin Ln,5j4,Circle,MT,59215
5268,5268,623127387,Weichung,,Djamila,21,Genine Avenue,5r0,Misoula,MT,59802
3253,12408,604377881,Ruiyuan,,Burlet,616,Moerch Ave,7r0,Saint Joseph,MO,64500
8244,8244,0,Chauvel,J,Couey,24,Mamoluides St,6a4,Ashland,NH,3217
18884,18884,113066200,Swick,B,Iguchi,576,Chawki Road,2w2,Whites City,NM,88268
394,394,0,Pakiamvathy,,Byk,NA,PO Box 2159,,Mariba,KY,40345
11251,24454,751075706,Ifact,U,Papaux,356,Fabiny,0p3,Swedesburg,IA,52652
17869,17869,618775280,Parow,Z,Laurin,NA,PO Box 3576,,Bethany Beach,DE,19930
17393,17393,0,Barringer,Y,Scholler,948,Charlerie Road,5s5,Kosrae,FM,96944
8848,8848,0,Bkicho,X,Nearyrath,438,Teriuko Rd,6l8,qHalf Way,MO,65663
19713,19713,562750488,Klinko,O,Vasudevan,852,Fern Road,4t7,Peterstown,WV,24963
8151,8151,371745107,Donaghue,Z,Sri,NA,PO Box 3579,,Polo,MO,64671
11312,24998,264542636,Jubin,H,Lieure,996,Shipp Rd,7c1,Rocky Mount,NC,27801
12303,12303,483586162,Quirarte,U,Longdin,NA,PO Box 2830,,oays,IN,46155
9623,9623,0,Cinde,,Cornet,910,Hamlin Ln,2y8,Costa,WV,25051
9201,9201,418241508,Amptmann,F,Osbourne,313,Bryg Lane,5r6,High Point,NC,27263
5502,5502,220638552,Manavendra,,Kufahl,903,Deinne Street,2z6,Albuquefque,NM,87111
3489,16391,770836511,Sathe,Y,Damita,231,Bombelli Ave,0z5,Nashville,TN,37246
5764,16544,0,Marchesini,,Rakoczy,207,Wynne Street,5k5,norseshoe Bend,ID,83629
9828,13091,0,Nimish,H,Schwarze,63,Monty Avenue,1g6,Hinsdale,MT,59241
10585,10585,511721767,Carahaliou,E,Tally,NA,PO Box 3660,,Gate City,VA,24251
19458,19458,0,Jasman,C,Linthicum,NA,PO Box 550,,Broadus,MT,59348
13227,13557,320080874,Vilayphiou,,Sotomayor,789,Libiov Street,2t5,Stafr,SC,29684
114,114,727680644,Larodcca,K,beyer,NA,PO Box 283,,Staten Island,NY,10310
17643,22893,716838414,Koecher,,Jotie,599,Delu Road,0l8,Bunker Hill,WV,25413
11039,11039,780623860,Ongman,T,Rish,50,aCity Street,600000,Hydeville,VT,5750
1641,1641,372044117,Ramakant,F,Mibsky,NA,aO Box 4559,,Jena,NJ,89019
1720,15365,255383386,Erdie,I,Volkhard,927,Suantori Avenue,7u2,Kosrae,FM,96944
5261,5261,553803285,Leonhard,W,Misslitz,499,Zeine Avenue,8w3,Old Westbury,NY,11568
1842,19333,0,Mikelonis,K,Putzeys,953,Fiszamn Parkway,8q3,Sidneyq,MT,59270
13905,20091,0,Durnford,,Brawley,920,Terrien,0l3,Gadsden,AL,35999
796,11938,0,Packham,N,Cerniglia,NA,PO Box 140,,Fairforest,SC,29336
12075,12075,0,Fishel,N,Kailey,234,Burghduff Street,3u5,Basehor,KS,66007
12756,12756,103178624,Ledroit,C,Feibus,273,Burchat Street,3z6,Pinnacle,NC,27043
